"May 2020 : US Category Changes","","","","","","","","","",""
"","","","","","","","","","",""
"Change Type","Count","","","","","","","","",""
"New","245","","","","","","","","",""
"Retired","141","","","","","","","","",""
"Rename","106","","","","","","","","",""
"Move","61","","","","","","","","",""
"Move & Rename","26","","","","","","","","",""
"Total","579","","","","","","","","",""
"","","","","","","","","","",""
"Category Name","","","","","","","","Category ID","Comments","Actions Required"
"","","","","Window & Wall Air Conditioners","","","","260502","New Category",""
"","","-","HVAC Systems","","","","","109477","Renamed from [HVAC & Refrigeration Units]",""
"","","","","Air Conditioner & Furnace Split Systems","","","","260503","New Category",""
"","","","","Boilers","","","","260417","New Category",""
"","","","","Central Air Conditioners","","","","183953","Renamed from [Central Air Conditioning Units]",""
"","","","","Central Furnaces","","","","184291","Renamed from [Central Heating Units]",""
"","","","","Heat Pumps","","","","183954","All listings are being moved into [Air Conditioner & Furnace Split Systems - 260503].","After 29 May: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Other HVAC & Refrigeration Units","","","","184292","All listings are being moved into [Air Conditioner & Furnace Split Systems - 260503].","After 29 May: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Central Heating Radiators","","","","260418","New Category",""
"","","","","Ducted Evaporative Coolers","","","","260419","New Category",""
"","","","","Ductless Mini Split Systems","","","","260420","New Category",""
"","","","","Rooftop Unit Air Conditioners","","","","260421","New Category",""
"","","","","Underfloor Heating Systems","","","","260422","New Category",""
"","","-","Refrigeration Equipment","","","","","260062","Moved from [HVAC & Refrigeration Units-109477]",""
"","","","","Air Coolers","","","","260063","",""
"","","","","Chillers","","","","260064","",""
"","","","","Cooling Towers","","","","260065","",""
"","","","","Dry & Fluid Coolers","","","","260066","Renamed from [Dry/Fluid Coolers]",""
"","","-","HVAC & Refrigeration Components","","","","","260068","",""
"","","","","Air Handlers","","","","124619","",""
"","","","","Compressors","","","","183960","Renamed from [Refrigeration Compressors]",""
"","","","","Condensers","","","","183961","",""
"","","","","Evaporators","","","","124621","",""
"","","","","Heat Exchangers","","","","109484","",""
"","","","-","Refrigerants","","","","260069","",""
"","","","","","MO99","","","260071","",""
"","","","","","R-12","","","260074","",""
"","","","","","R-123","","","260075","",""
"","","","","","R-1234yf","","","260076","",""
"","","","","","R-12a","","","260077","",""
"","","","","","R-134a","","","260078","",""
"","","","","","R-22","","","260079","",""
"","","","","","R-290","","","260080","",""
"","","","","","R-401a","","","260081","",""
"","","","","","R-401b","","","260082","",""
"","","","","","R-402a","","","260083","",""
"","","","","","R-402b","","","260084","",""
"","","","","","R-404a","","","260085","",""
"","","","","","R-407a","","","260086","",""
"","","","","","R-407c","","","260087","",""
"","","","","","R-408a","","","260088","",""
"","","","","","R-409a","","","260089","",""
"","","","","","R-410a","","","260090","",""
"","","","","","R-414b","","","260091","",""
"","","","","","R-416a","","","260092","",""
"","","","","","R-422b","","","260093","",""
"","","","","","R-422c","","","260094","",""
"","","","","","R-422d","","","260095","",""
"","","","","","R-427a","","","260096","",""
"","","","","","R-448a","","","260097","",""
"","","","","","R-502","","","260099","",""
"","","","","","R-507","","","260100","",""
"","","","","","R-600a","","","260101","",""
"","","","","Refrigeration Compressor Racks","","","","260102","",""
"","","","","Refrigeration Systems","","","","260103","",""
"","","","","Other HVAC & Refrigeration Components","","","","260104","All listings are being moved into [R-410a - 260090].","After 29 May: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","-","HVAC & Refrigeration: Parts & Accessories","","","","","53295","Renamed from [HVAC & Refrigeration Parts/Accessories]",""
"","","","","Accumulators","","","","260105","",""
"","","","","Boiler Expansion Tanks","","","","185123","",""
"","","","","Coil & Surface Protectants","","","","260106","",""
"","","","","Drain Pans","","","","260423","New Category",""
"","","","","Duct Mounted Air Purifiers & Media Cleaners","","","","260424","New Category",""
"","","","","Duct Mounted Humidifiers & Dehumidifiers","","","","260425","New Category",""
"","","","","Electrical Heat Strips","","","","260426","New Category",""
"","","","","Filter Driers","","","","183965","",""
"","","","","Gas Conversion Kits","","","","260427","New Category",""
"","","","","Hot Surface Ignitors","","","","260428","New Category",""
"","","","","HVAC Air Filters","","","","183959","",""
"","","","","HVAC Capacitors","","","","260429","New Category",""
"","","","","HVAC Damper Actuators","","","","183963","",""
"","","","","HVAC Dampers","","","","183962","",""
"","","","","HVAC Ducting & Duct Hoses","","","","185124","Moved from [HVAC & Refrigeration Components-260068]",""
"","","","","HVAC Pumps","","","","260430","New Category",""
"","","","","HVAC Sensors","","","","53301","",""
"","","","","HVAC Vents","","","","185125","Moved from [HVAC & Refrigeration Components-260068]",""
"","","","","HVAC & Refrigeration Adapters","","","","260107","Renamed from [HVAC/R Adapters]",""
"","","","","HVAC & Refrigeration Cartridge Heaters","","","","260108","Renamed from [HVAC/R Cartridge Heaters]",""
"","","","","HVAC & Refrigeration Cartridges","","","","260109","Renamed from [HVAC/R Cartridges]",""
"","","","","HVAC & Refrigeration Coil Assemblies","","","","260110","Renamed from [HVAC/R Coil Assemblies]",""
"","","","","HVAC & Refrigeration Coils","","","","260111","Renamed from [HVAC/R Coils]",""
"","","","","HVAC & Refrigeration Contactors","","","","260112","Renamed from [HVAC/R Contactors]",""
"","","","","HVAC & Refrigeration: Controls & Circuit Boards","","","","53296","Renamed from [HVAC/R Controls & Circuit Boards]",""
"","","","","HVAC & Refrigeration: Fans & Blowers","","","","53297","Renamed from [HVAC/R Fans & Blowers]",""
"","","","","HVAC & Refrigeration Leak Sealants","","","","183972","Renamed from [HVAC/R Leak Sealants]",""
"","","","","HVAC & Refrigeration Motors","","","","260113","Renamed from [HVAC/R Motors]",""
"","","","","HVAC & Refrigeration: Pipes & Tubes","","","","260114","Renamed from [HVAC/R Pipes & Tubes]",""
"","","","","HVAC & Refrigeration Pressure Regulators","","","","260115","Renamed from [HVAC/R Pressure Regulators]",""
"","","","","HVAC & Refrigeration Pressure Switches","","","","260116","Renamed from [HVAC/R Pressure Switches]",""
"","","","","HVAC & Refrigeration Thermostats","","","","53302","Renamed from [HVAC/R Thermostats]",""
"","","","","HVAC & Refrigeration Valves","","","","260117","Renamed from [HVAC/R Valves]",""
"","","","","Pilot Assemblies","","","","260431","New Category",""
"","","","","Plenum & Filter Boxes","","","","260432","New Category",""
"","","","","Radiator Covers","","","","260433","New Category",""
"","","","","Refrigerant Cap Locks","","","","260118","",""
"","","","","Refrigerant Labels","","","","260119","",""
"","","","","Refrigerant Line Sets","","","","260434","New Category",""
"","","","","Refrigeration Gaskets","","","","260120","",""
"","","","","Refrigeration Hoses","","","","260121","",""
"","","","","Refrigeration Lubricants","","","","260122","",""
"","","","","Restrictors & Orifices","","","","260123","",""
"","","","","Scale Inhibitors & Removers","","","","260124","",""
"","","","","Sight Glasses & Moisture Indicators","","","","260125","",""
"","","","","Other HVAC & Refrigeration Parts/Accessories","","","","42911","All listings are being moved into [Other HVAC & Refrigeration - 42912].","Before 27 May: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","","","Thermocouples & Thermopiles","","","","260435","New Category",""
"","","","","Thermostat Wires","","","","260436","New Category",""
"","","-","HVAC & Refrigeration Tools","","","","","66996","",""
"","","","","Ducting Crimpers","","","","183966","",""
"","","","","Ducting Installation Tools","","","","183967","",""
"","","","","HVAC Flush Kits","","","","260437","New Category",""
"","","","","HVAC Installation Tools","","","","260441","New Category",""
"","","","","HVAC & Refrigeration: Gauges & Probes","","","","66998","Renamed from [HVAC/R Gauges & Probes]",""
"","","","","HVAC & Refrigeration Leak Detectors","","","","53298","Renamed from [HVAC/R Leak Detectors]",""
"","","","","Recovery Cylinder Tanks","","","","260126","",""
"","","","","Refrigerant Evacuation Pumps","","","","260127","",""
"","","","","Refrigerant Recovery Units","","","","109488","",""
"","","","","Refrigerant Replacement Kits","","","","260128","Renamed from [Refrigerant Replacement Kit]",""
"","","","","Refrigerant Scales & Meters","","","","66997","",""
"","","","","Refrigeration Tubing Tools","","","","260129","",""
"","","","","Other HVAC & Refrigeration Tools","","","","66999","All listings are being moved into [Other HVAC & Refrigeration - 42912].","Before 27 May: If you would like your listings to be moved into an appropriate category, please use the applicable eBay recommended item specifics."
"","","-","Water Heaters","","","","","183974","Moved from [Building Materials & Supplies-41498]",""
"","","","","Industrial Combination Boilers","","","","260438","New Category",""
"","","","","Industrial Tanked Water Heaters","","","","183975","Renamed from [Tanked Water Heaters]",""
"","","","","Industrial Tankless Water Heaters","","","","183976","Renamed from [Tankless Water Heaters]",""
"","","","","Water Heater Parts & Accessories","","","","183977","All listings are being moved into [Industrial Water Heater Parts - 260439].","After 29 May: As a result of this category change, existing item specifics are likely to change. Please update your listings with the new item specifics after the category changes for optimal visibility."
"","","","","Industrial Water Heater Parts","","","","260439","New Category",""
"","","","","Industrial Water Heater Accessories","","","","260440","New Category",""
"","","","Other HVAC & Refrigeration","","","","","42912","",""
"","+","Hydraulics, Pneumatics, Pumps & Plumbing","","","","","","183978","",""
"","+","Industrial Automation & Motion Controls","","","","","","42892","",""
"","+","Light Equipment & Tools","","","","","","61573","",""
"","-","Material Handling","","","","","","26221","",""
"","","+","Carts & Trucks","","","","","184149","",""
"","","+","Casters & Wheels","","","","","184161","",""
"","","+","Conveyors & Conveyor Parts","","","","","184165","",""
"","","+","Warehouse Loading & Unloading","","","","","184174","",""
